Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Right Gyrus Occipital Middle Volume From Qdec,,,,,,,,,rh_G_occipital_middle_volume,,,,rh_G_occipital_middle_volume,,lrmoccgv,rh_G_occipital_middle_volume,(G_occipital_middle)GrayVol,,,rh_G_occipital_middle_volume,,rh_G_occipital_middle_volume,,,rh_G_occipital_middle_volume,rh_G_occipital_middle_volume,
Right Gyrus Occipital Sup Volume From Qdec,,,,,,,,,rh_G_occipital_sup_volume,,,,rh_G_occipital_sup_volume,,lrsuogv,rh_G_occipital_sup_volume,(G_occipital_sup)GrayVol,,,rh_G_occipital_sup_volume,,rh_G_occipital_sup_volume,,,rh_G_occipital_sup_volume,rh_G_occipital_sup_volume,
Right Gyrus Oc-temp Lat-fusifor Volume From Qdec,,,,,,,,,rh_G_oc-temp_lat-fusifor_volume,,,,rh_G_oc-temp_lat-fusifor_volume,,,rh_G_oc-temp_lat-fusifor_volume,(G_oc-temp_lat-fusifor)GrayVol,,,rh_G_oc-temp_lat-fusifor_volume,,rh_G_oc-temp_lat-fusifor_volume,,,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_lat-fusifor_volume,
Right Gyrus Oc-temp Med-Lingual Volume From Qdec,,,,,,,,,rh_G_oc-temp_med-Lingual_volume,,,,rh_G_oc-temp_med-Lingual_volume,,,rh_G_oc-temp_med-Lingual_volume,(G_oc-temp_med-Lingual)GrayVol,,,rh_G_oc-temp_med-Lingual_volume,,rh_G_oc-temp_med-Lingual_volume,,,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Lingual_volume,
Right Gyrus Oc-temp Med-Parahip Volume From Qdec,,,,,,,,,rh_G_oc-temp_med-Parahip_volume,,,,rh_G_oc-temp_med-Parahip_volume,,,rh_G_oc-temp_med-Parahip_volume,(G_oc-temp_med-Parahip)GrayVol,,,rh_G_oc-temp_med-Parahip_volume,,rh_G_oc-temp_med-Parahip_volume,,,rh_G_oc-temp_med-Parahip_volume,rh_G_oc-temp_med-Parahip_volume,
Right Gyrus Orbital Volume From Qdec,,,,,,,,,rh_G_orbital_volume,,,,rh_G_orbital_volume,,,rh_G_orbital_volume,(G_orbital)GrayVol,,,rh_G_orbital_volume,,rh_G_orbital_volume,,,rh_G_orbital_volume,rh_G_orbital_volume,
Right Gyrus Pariet Inf-Angular Volume From Qdec,,,,,,,,,rh_G_pariet_inf-Angular_volume,,,,rh_G_pariet_inf-Angular_volume,,,rh_G_pariet_inf-Angular_volume,(G_pariet_inf-Angular)GrayVol,,,rh_G_pariet_inf-Angular_volume,,rh_G_pariet_inf-Angular_volume,,,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Angular_volume,
Right Gyrus Pariet Inf-Supramar Volume From Qdec,,,,,,,,,rh_G_pariet_inf-Supramar_volume,,,,rh_G_pariet_inf-Supramar_volume,,,rh_G_pariet_inf-Supramar_volume,(G_pariet_inf-Supramar)GrayVol,,,rh_G_pariet_inf-Supramar_volume,,rh_G_pariet_inf-Supramar_volume,,,rh_G_pariet_inf-Supramar_volume,rh_G_pariet_inf-Supramar_volume,
Right Gyrus Parietal Sup Volume From Qdec,,,,,,,,,rh_G_parietal_sup_volume,,,,rh_G_parietal_sup_volume,,lrsupalv,rh_G_parietal_sup_volume,(G_parietal_sup)GrayVol,,,rh_G_parietal_sup_volume,,rh_G_parietal_sup_volume,,,rh_G_parietal_sup_volume,rh_G_parietal_sup_volume,
Right Gyrus Postcentral Volume From Qdec,,,,,,,,,rh_G_postcentral_volume,,,,rh_G_postcentral_volume,,,rh_G_postcentral_volume,(G_postcentral)GrayVol,,,rh_G_postcentral_volume,,rh_G_postcentral_volume,,,rh_G_postcentral_volume,rh_G_postcentral_volume,
Right Gyrus Precentral Volume From Qdec,,,,,,,,,rh_G_precentral_volume,,,,rh_G_precentral_volume,,lrprgv,rh_G_precentral_volume,(G_precentral)GrayVol,,,rh_G_precentral_volume,,rh_G_precentral_volume,,,rh_G_precentral_volume,rh_G_precentral_volume,
Right Gyrus Precuneus Volume From Qdec,,,,,,,,,rh_G_precuneus_volume,,,,rh_G_precuneus_volume,,,rh_G_precuneus_volume,(G_precuneus)GrayVol,,,rh_G_precuneus_volume,,rh_G_precuneus_volume,,,rh_G_precuneus_volume,rh_G_precuneus_volume,
Right Gyrus Rectus Volume From Qdec,,UBERON:0004671,,,,,,,rh_G_rectus_volume,,,,rh_G_rectus_volume,,lrgyrrv,rh_G_rectus_volume,(G_rectus)GrayVol,,,rh_G_rectus_volume,,rh_G_rectus_volume,,,rh_G_rectus_volume,rh_G_rectus_volume,
Right Gyrus Subcallosal Volume From Qdec,,,,,,,,,rh_G_subcallosal_volume,,,,rh_G_subcallosal_volume,,lrsubcav,rh_G_subcallosal_volume,(G_subcallosal)GrayVol,,,rh_G_subcallosal_volume,,rh_G_subcallosal_volume,,,rh_G_subcallosal_volume,rh_G_subcallosal_volume,
Right Gyrus Temp Sup-G T Transv Volume From Qdec,,,,,,,,,rh_G_temp_sup-G_T_transv_volume,,,,rh_G_temp_sup-G_T_transv_volume,,,rh_G_temp_sup-G_T_transv_volume,(G_temp_sup-G_T_transv)GrayVol,,,rh_G_temp_sup-G_T_transv_volume,,rh_G_temp_sup-G_T_transv_volume,,,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-G_T_transv_volume,
Right Gyrus Temp Sup-Lateral Volume From Qdec,,,,,,,,,rh_G_temp_sup-Lateral_volume,,,,rh_G_temp_sup-Lateral_volume,,,rh_G_temp_sup-Lateral_volume,(G_temp_sup-Lateral)GrayVol,,,rh_G_temp_sup-Lateral_volume,,rh_G_temp_sup-Lateral_volume,,,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Lateral_volume,
Right Gyrus Temp Sup-Plan Polar Volume From Qdec,,,,,,,,,rh_G_temp_sup-Plan_polar_volume,,,,rh_G_temp_sup-Plan_polar_volume,,,rh_G_temp_sup-Plan_polar_volume,(G_temp_sup-Plan_polar)GrayVol,,,rh_G_temp_sup-Plan_polar_volume,,rh_G_temp_sup-Plan_polar_volume,,,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_polar_volume,
Right Gyrus Temp Sup-Plan Tempo Volume From Qdec,,,,,,,,,rh_G_temp_sup-Plan_tempo_volume,,,,rh_G_temp_sup-Plan_tempo_volume,,,rh_G_temp_sup-Plan_tempo_volume,(G_temp_sup-Plan_tempo)GrayVol,,,rh_G_temp_sup-Plan_tempo_volume,,rh_G_temp_sup-Plan_tempo_volume,,,rh_G_temp_sup-Plan_tempo_volume,rh_G_temp_sup-Plan_tempo_volume,
Right Gyrus Temporal Inferior Volume From Qdec,,UBERON:0002751,,,,,,,rh_G_temporal_inf_volume,,,,rh_G_temporal_inf_volume,,,rh_G_temporal_inf_volume,(G_temporal_inf)GrayVol,,,rh_G_temporal_inf_volume,,rh_G_temporal_inf_volume,,,rh_G_temporal_inf_volume,rh_G_temporal_inf_volume,
Right Gyrus Temporal Middle Volume From Qdec,,,,,,,,,rh_G_temporal_middle_volume,,,,rh_G_temporal_middle_volume,,,rh_G_temporal_middle_volume,(G_temporal_middle)GrayVol,,,rh_G_temporal_middle_volume,,rh_G_temporal_middle_volume,,,rh_G_temporal_middle_volume,rh_G_temporal_middle_volume,
Right Lat Fis-ant-Horizont Volume From Qdec,,,,,,,,,rh_Lat_Fis-ant-Horizont_volume,,,,rh_Lat_Fis-ant-Horizont_volume,,,rh_Lat_Fis-ant-Horizont_volume,(Lat_Fis-ant-Horizont)GrayVol,,,rh_Lat_Fis-ant-Horizont_volume,,rh_Lat_Fis-ant-Horizont_volume,,,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Horizont_volume,
Right Lat Fis-ant-Vertical Volume From Qdec,,,,,,,,,rh_Lat_Fis-ant-Vertical_volume,,,,rh_Lat_Fis-ant-Vertical_volume,,,rh_Lat_Fis-ant-Vertical_volume,(Lat_Fis-ant-Vertical)GrayVol,,,rh_Lat_Fis-ant-Vertical_volume,,rh_Lat_Fis-ant-Vertical_volume,,,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-ant-Vertical_volume,
Right Lat Fis-post Volume From Qdec,,,,,,,,,rh_Lat_Fis-post_volume,,,,rh_Lat_Fis-post_volume,,,rh_Lat_Fis-post_volume,(Lat_Fis-post)GrayVol,,,rh_Lat_Fis-post_volume,,rh_Lat_Fis-post_volume,,,rh_Lat_Fis-post_volume,rh_Lat_Fis-post_volume,
Right Sulcus Central Volume From Qdec,,,,,,,,,rh_S_central_volume,,,,rh_S_central_volume,,,rh_S_central_volume,(S_central)GrayVol,,,rh_S_central_volume,,rh_S_central_volume,,,rh_S_central_volume,rh_S_central_volume,
Right Sulcus Cingul-Marginalis Volume From Qdec,,,,,,,,,rh_S_cingul-Marginalis_volume,,,,rh_S_cingul-Marginalis_volume,,,rh_S_cingul-Marginalis_volume,(S_cingul-Marginalis)GrayVol,,,rh_S_cingul-Marginalis_volume,,rh_S_cingul-Marginalis_volume,,,rh_S_cingul-Marginalis_volume,rh_S_cingul-Marginalis_volume,
Right Sulcus Circular Insula Anterior Volume From Qdec,,,,,,,,,rh_S_circular_insula_ant_volume,,,,rh_S_circular_insula_ant_volume,,,rh_S_circular_insula_ant_volume,(S_circular_insula_ant)GrayVol,,,rh_S_circular_insula_ant_volume,,rh_S_circular_insula_ant_volume,,,rh_S_circular_insula_ant_volume,rh_S_circular_insula_ant_volume,
Right Sulcus Circular Insula Inferior Volume From Qdec,,,,,,,,,rh_S_circular_insula_inf_volume,,,,rh_S_circular_insula_inf_volume,,,rh_S_circular_insula_inf_volume,(S_circular_insula_inf)GrayVol,,,rh_S_circular_insula_inf_volume,,rh_S_circular_insula_inf_volume,,,rh_S_circular_insula_inf_volume,rh_S_circular_insula_inf_volume,
Right Sulcus Circular Insula Sup Volume From Qdec,,,,,,,,,rh_S_circular_insula_sup_volume,,,,rh_S_circular_insula_sup_volume,,,rh_S_circular_insula_sup_volume,(S_circular_insula_sup)GrayVol,,,rh_S_circular_insula_sup_volume,,rh_S_circular_insula_sup_volume,,,rh_S_circular_insula_sup_volume,rh_S_circular_insula_sup_volume,
Right Sulcus Collat Transv Anterior Volume From Qdec,,,,,,,,,rh_S_collat_transv_ant_volume,,,,rh_S_collat_transv_ant_volume,,,rh_S_collat_transv_ant_volume,(S_collat_transv_ant)GrayVol,,,rh_S_collat_transv_ant_volume,,rh_S_collat_transv_ant_volume,,,rh_S_collat_transv_ant_volume,rh_S_collat_transv_ant_volume,
Right Sulcus Collat Transv Posterior Volume From Qdec,,,,,,,,,rh_S_collat_transv_post_volume,,,,rh_S_collat_transv_post_volume,,,rh_S_collat_transv_post_volume,(S_collat_transv_post)GrayVol,,,rh_S_collat_transv_post_volume,,rh_S_collat_transv_post_volume,,,rh_S_collat_transv_post_volume,rh_S_collat_transv_post_volume,
Right Sulcus Frontal Inferior Volume From Qdec,,,,,,,,,rh_S_front_inf_volume,,,,rh_S_front_inf_volume,,,rh_S_front_inf_volume,(S_front_inf)GrayVol,,,rh_S_front_inf_volume,,rh_S_front_inf_volume,,,rh_S_front_inf_volume,rh_S_front_inf_volume,
Right Sulcus Frontal Middle Volume From Qdec,,,,,,,,,rh_S_front_middle_volume,,,,rh_S_front_middle_volume,,,rh_S_front_middle_volume,(S_front_middle)GrayVol,,,rh_S_front_middle_volume,,rh_S_front_middle_volume,,,rh_S_front_middle_volume,rh_S_front_middle_volume,
Right Sulcus Frontal Sup Volume From Qdec,,,,,,,,,rh_S_front_sup_volume,,,,rh_S_front_sup_volume,,,rh_S_front_sup_volume,(S_front_sup)GrayVol,,,rh_S_front_sup_volume,,rh_S_front_sup_volume,,,rh_S_front_sup_volume,rh_S_front_sup_volume,
Right Sulcus Interm Prim-Jensen Volume From Qdec,,,,,,,,,rh_S_interm_prim-Jensen_volume,,,,rh_S_interm_prim-Jensen_volume,,,rh_S_interm_prim-Jensen_volume,(S_interm_prim-Jensen)GrayVol,,,rh_S_interm_prim-Jensen_volume,,rh_S_interm_prim-Jensen_volume,,,rh_S_interm_prim-Jensen_volume,rh_S_interm_prim-Jensen_volume,
Right Sulcus Intrapariet And P Trans Volume From Qdec,,,,,,,,,rh_S_intrapariet_and_P_trans_volume,,,,rh_S_intrapariet_and_P_trans_volume,,,rh_S_intrapariet_and_P_trans_volume,(S_intrapariet_and_P_trans)GrayVol,,,rh_S_intrapariet_and_P_trans_volume,,rh_S_intrapariet_and_P_trans_volume,,,rh_S_intrapariet_and_P_trans_volume,rh_S_intrapariet_and_P_trans_volume,
Right Sulcus Oc Middle And Lunatus Volume From Qdec,,,,,,,,,rh_S_oc_middle_and_Lunatus_volume,,,,rh_S_oc_middle_and_Lunatus_volume,,,rh_S_oc_middle_and_Lunatus_volume,(S_oc_middle_and_Lunatus)GrayVol,,,rh_S_oc_middle_and_Lunatus_volume,,rh_S_oc_middle_and_Lunatus_volume,,,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_middle_and_Lunatus_volume,
Right Sulcus Oc Sup And Transversal Volume From Qdec,,,,,,,,,rh_S_oc_sup_and_transversal_volume,,,,rh_S_oc_sup_and_transversal_volume,,,rh_S_oc_sup_and_transversal_volume,(S_oc_sup_and_transversal)GrayVol,,,rh_S_oc_sup_and_transversal_volume,,rh_S_oc_sup_and_transversal_volume,,,rh_S_oc_sup_and_transversal_volume,rh_S_oc_sup_and_transversal_volume,
Right Sulcus Occipital Anterior Volume From Qdec,,,,,,,,,rh_S_occipital_ant_volume,,,,rh_S_occipital_ant_volume,,,rh_S_occipital_ant_volume,(S_occipital_ant)GrayVol,,,rh_S_occipital_ant_volume,,rh_S_occipital_ant_volume,,,rh_S_occipital_ant_volume,rh_S_occipital_ant_volume,
Right Sulcus Oc-temp Lat Volume From Qdec,,,,,,,,,rh_S_oc-temp_lat_volume,,,,rh_S_oc-temp_lat_volume,,,rh_S_oc-temp_lat_volume,(S_oc-temp_lat)GrayVol,,,rh_S_oc-temp_lat_volume,,rh_S_oc-temp_lat_volume,,,rh_S_oc-temp_lat_volume,rh_S_oc-temp_lat_volume,
Right Sulcus Oc-temp Med And Lingual Volume From Qdec,,,,,,,,,rh_S_oc-temp_med_and_Lingual_volume,,,,rh_S_oc-temp_med_and_Lingual_volume,,,rh_S_oc-temp_med_and_Lingual_volume,(S_oc-temp_med_and_Lingual)GrayVol,,,rh_S_oc-temp_med_and_Lingual_volume,,rh_S_oc-temp_med_and_Lingual_volume,,,rh_S_oc-temp_med_and_Lingual_volume,rh_S_oc-temp_med_and_Lingual_volume,
Right Sulcus Orbital Lateral Volume From Qdec,,,,,,,,,rh_S_orbital_lateral_volume,,,,rh_S_orbital_lateral_volume,,lrlatogv,rh_S_orbital_lateral_volume,(S_orbital_lateral)GrayVol,,,rh_S_orbital_lateral_volume,,rh_S_orbital_lateral_volume,,,rh_S_orbital_lateral_volume,rh_S_orbital_lateral_volume,
Right Sulcus Orbital Med-olfact Volume From Qdec,,,,,,,,,rh_S_orbital_med-olfact_volume,,,,rh_S_orbital_med-olfact_volume,,,rh_S_orbital_med-olfact_volume,(S_orbital_med-olfact)GrayVol,,,rh_S_orbital_med-olfact_volume,,rh_S_orbital_med-olfact_volume,,,rh_S_orbital_med-olfact_volume,rh_S_orbital_med-olfact_volume,
Right Sulcus Orbital-H Shaped Volume From Qdec,,,,,,,,,rh_S_orbital-H_Shaped_volume,,,,rh_S_orbital-H_Shaped_volume,,,rh_S_orbital-H_Shaped_volume,(S_orbital-H_Shaped)GrayVol,,,rh_S_orbital-H_Shaped_volume,,rh_S_orbital-H_Shaped_volume,,,rh_S_orbital-H_Shaped_volume,rh_S_orbital-H_Shaped_volume,
Right Sulcus Parieto Occipital Volume From Qdec,,,,,,,,,rh_S_parieto_occipital_volume,,,,rh_S_parieto_occipital_volume,,,rh_S_parieto_occipital_volume,(S_parieto_occipital)GrayVol,,,rh_S_parieto_occipital_volume,,rh_S_parieto_occipital_volume,,,rh_S_parieto_occipital_volume,rh_S_parieto_occipital_volume,
Right Sulcus Pericallosal Volume From Qdec,,,,,,,,,rh_S_pericallosal_volume,,,,rh_S_pericallosal_volume,,,rh_S_pericallosal_volume,(S_pericallosal)GrayVol,,,rh_S_pericallosal_volume,,rh_S_pericallosal_volume,,,rh_S_pericallosal_volume,rh_S_pericallosal_volume,
Right Sulcus Postcentral Volume From Qdec,,,,,,,,,rh_S_postcentral_volume,,,,rh_S_postcentral_volume,,,rh_S_postcentral_volume,(S_postcentral)GrayVol,,,rh_S_postcentral_volume,,rh_S_postcentral_volume,,,rh_S_postcentral_volume,rh_S_postcentral_volume,
Right Sulcus Precentral-inf-part Volume From Qdec,,,,,,,,,rh_S_precentral-inf-part_volume,,,,rh_S_precentral-inf-part_volume,,,rh_S_precentral-inf-part_volume,(S_precentral-inf-part)GrayVol,,,rh_S_precentral-inf-part_volume,,rh_S_precentral-inf-part_volume,,,rh_S_precentral-inf-part_volume,rh_S_precentral-inf-part_volume,
Right Sulcus Precentral-sup-part Volume From Qdec,,,,,,,,,rh_S_precentral-sup-part_volume,,,,rh_S_precentral-sup-part_volume,,,rh_S_precentral-sup-part_volume,(S_precentral-sup-part)GrayVol,,,rh_S_precentral-sup-part_volume,,rh_S_precentral-sup-part_volume,,,rh_S_precentral-sup-part_volume,rh_S_precentral-sup-part_volume,
Right Sulcus Suborbital Volume From Qdec,,,,,,,,,rh_S_suborbital_volume,,,,rh_S_suborbital_volume,,,rh_S_suborbital_volume,(S_suborbital)GrayVol,,,rh_S_suborbital_volume,,rh_S_suborbital_volume,,,rh_S_suborbital_volume,rh_S_suborbital_volume,
Right Sulcus Subparietal Volume From Qdec,,,,,,,,,rh_S_subparietal_volume,,,,rh_S_subparietal_volume,,,rh_S_subparietal_volume,(S_subparietal)GrayVol,,,rh_S_subparietal_volume,,rh_S_subparietal_volume,,,rh_S_subparietal_volume,rh_S_subparietal_volume,
Right Sulcus Temporal Inferior Volume From Qdec,,,,,,,,,rh_S_temporal_inf_volume,,,,rh_S_temporal_inf_volume,,,rh_S_temporal_inf_volume,(S_temporal_inf)GrayVol,,,rh_S_temporal_inf_volume,,rh_S_temporal_inf_volume,,,rh_S_temporal_inf_volume,rh_S_temporal_inf_volume,
Right Sulcus Temporal Sup Volume From Qdec,,,,,,,,,rh_S_temporal_sup_volume,,,,rh_S_temporal_sup_volume,,lrstpgv,rh_S_temporal_sup_volume,(S_temporal_sup)GrayVol,,,rh_S_temporal_sup_volume,,rh_S_temporal_sup_volume,,,rh_S_temporal_sup_volume,rh_S_temporal_sup_volume,
Right Sulcus Temporal Transverse Volume From Qdec,,,,,,,,,rh_S_temporal_transverse_volume,,,,rh_S_temporal_transverse_volume,,lrttgv,rh_S_temporal_transverse_volume,(S_temporal_transverse)GrayVol,,,rh_S_temporal_transverse_volume,,rh_S_temporal_transverse_volume,,,rh_S_temporal_transverse_volume,rh_S_temporal_transverse_volume,
Right Isthmuscingulate Area From Qdec,,,,,,,,,rh_isthmuscingulate_area,,,ST93SA,rh_isthmuscingulate_area,,,rh_isthmuscingulate_area,rh_(isthmuscingulate)SurfArea,,,rh_isthmuscingulate_area,,rh_isthmuscingulate_area,,,rh_isthmuscingulate_area,rh_isthmuscingulate_area,
Right WhiteSurfArea Area From Qdec,,,,,,ST87SA,,,rh_WhiteSurfArea_area,,,ST87SA,rh_WhiteSurfArea_area,,,rh_WhiteSurfArea_area,,,,rh_WhiteSurfArea_area,,rh_WhiteSurfArea_area,,,rh_WhiteSurfArea_area,rh_WhiteSurfArea_area,
Right Banks Of The Superior Temoral Sulcus Meancurv From Qdec,,,,,,,,,rh_bankssts_meancurv,,,,rh_bankssts_meancurv,,,rh_bankssts_meancurv,rh_(bankssts)MeanCurv,,,rh_bankssts_meancurv,,rh_bankssts_meancurv,,,rh_bankssts_meancurv,rh_bankssts_meancurv,
Right Caudalanteriorcingulate Meancurv From Qdec,,,,,,,,,rh_caudalanteriorcingulate_meancurv,,,,rh_caudalanteriorcingulate_meancurv,,,rh_caudalanteriorcingulate_meancurv,rh_(caudalanteriorcingulate)MeanCurv,,,rh_caudalanteriorcingulate_meancurv,,rh_caudalanteriorcingulate_meancurv,,,rh_caudalanteriorcingulate_meancurv,rh_caudalanteriorcingulate_meancurv,
Right Caudalmiddlefrontal Meancurv From Qdec,,,,,,,,,rh_caudalmiddlefrontal_meancurv,,,,rh_caudalmiddlefrontal_meancurv,,,rh_caudalmiddlefrontal_meancurv,rh_(caudalmiddlefrontal)MeanCurv,,,rh_caudalmiddlefrontal_meancurv,,rh_caudalmiddlefrontal_meancurv,,,rh_caudalmiddlefrontal_meancurv,rh_caudalmiddlefrontal_meancurv,
Right Cuneus Meancurv From Qdec,,,,,,,,,rh_cuneus_meancurv,,,,rh_cuneus_meancurv,,,rh_cuneus_meancurv,rh_(cuneus)MeanCurv,,,rh_cuneus_meancurv,,rh_cuneus_meancurv,,,rh_cuneus_meancurv,rh_cuneus_meancurv,
Right Entorightinal Meancurv From Qdec,,,,,,,,,rh_entorhinal_meancurv,,,,rh_entorhinal_meancurv,,,rh_entorhinal_meancurv,rh_(entorhinal)MeanCurv,,,rh_entorhinal_meancurv,,rh_entorhinal_meancurv,,,rh_entorhinal_meancurv,rh_entorhinal_meancurv,
Right Fusiform Meancurv From Qdec,,,,,,,,,rh_fusiform_meancurv,,,,rh_fusiform_meancurv,,,rh_fusiform_meancurv,rh_(fusiform)MeanCurv,,,rh_fusiform_meancurv,,rh_fusiform_meancurv,,,rh_fusiform_meancurv,rh_fusiform_meancurv,
Right Inferiorparietal Meancurv From Qdec,,,,,,,,,rh_inferiorparietal_meancurv,,,,rh_inferiorparietal_meancurv,,,rh_inferiorparietal_meancurv,rh_(inferiorparietal)MeanCurv,,,rh_inferiorparietal_meancurv,,rh_inferiorparietal_meancurv,,,rh_inferiorparietal_meancurv,rh_inferiorparietal_meancurv,
Right Inferiortemporal Meancurv From Qdec,,,,,,,,,rh_inferiortemporal_meancurv,,,,rh_inferiortemporal_meancurv,,,rh_inferiortemporal_meancurv,rh_(inferiortemporal)MeanCurv,,,rh_inferiortemporal_meancurv,,rh_inferiortemporal_meancurv,,,rh_inferiortemporal_meancurv,rh_inferiortemporal_meancurv,
Right Isthmuscingulate Meancurv From Qdec,,,,,,,,,rh_isthmuscingulate_meancurv,,,,rh_isthmuscingulate_meancurv,,,rh_isthmuscingulate_meancurv,rh_(isthmuscingulate)MeanCurv,,,rh_isthmuscingulate_meancurv,,rh_isthmuscingulate_meancurv,,,rh_isthmuscingulate_meancurv,rh_isthmuscingulate_meancurv,
Right Lateraloccipital Meancurv From Qdec,,,,,,,,,rh_lateraloccipital_meancurv,,,,rh_lateraloccipital_meancurv,,,rh_lateraloccipital_meancurv,rh_(lateraloccipital)MeanCurv,,,rh_lateraloccipital_meancurv,,rh_lateraloccipital_meancurv,,,rh_lateraloccipital_meancurv,rh_lateraloccipital_meancurv,
Right Lateralorbitofrontal Meancurv From Qdec,,,,,,,,,rh_lateralorbitofrontal_meancurv,,,,rh_lateralorbitofrontal_meancurv,,,rh_lateralorbitofrontal_meancurv,rh_(lateralorbitofrontal)MeanCurv,,,rh_lateralorbitofrontal_meancurv,,rh_lateralorbitofrontal_meancurv,,,rh_lateralorbitofrontal_meancurv,rh_lateralorbitofrontal_meancurv,
Right Lingual Meancurv From Qdec,,,,,,,,,rh_lingual_meancurv,,,,rh_lingual_meancurv,,,rh_lingual_meancurv,rh_(lingual)MeanCurv,,,rh_lingual_meancurv,,rh_lingual_meancurv,,,rh_lingual_meancurv,rh_lingual_meancurv,
Right Medialorbitofrontal Meancurv From Qdec,,,,,,,,,rh_medialorbitofrontal_meancurv,,,,rh_medialorbitofrontal_meancurv,,,rh_medialorbitofrontal_meancurv,rh_(medialorbitofrontal)MeanCurv,,,rh_medialorbitofrontal_meancurv,,rh_medialorbitofrontal_meancurv,,,rh_medialorbitofrontal_meancurv,rh_medialorbitofrontal_meancurv,
Right Middletemporal Meancurv From Qdec,,,,,,,,,rh_middletemporal_meancurv,,,,rh_middletemporal_meancurv,,,rh_middletemporal_meancurv,rh_(middletemporal)MeanCurv,,,rh_middletemporal_meancurv,,rh_middletemporal_meancurv,,,rh_middletemporal_meancurv,rh_middletemporal_meancurv,
Right Parahippocampal Meancurv From Qdec,,,,,,,,,rh_parahippocampal_meancurv,,,,rh_parahippocampal_meancurv,,,rh_parahippocampal_meancurv,rh_(parahippocampal)MeanCurv,,,rh_parahippocampal_meancurv,,rh_parahippocampal_meancurv,,,rh_parahippocampal_meancurv,rh_parahippocampal_meancurv,
Right Paracentral Meancurv From Qdec,,,,,,,,,rh_paracentral_meancurv,,,,rh_paracentral_meancurv,,,rh_paracentral_meancurv,rh_(paracentral)MeanCurv,,,rh_paracentral_meancurv,,rh_paracentral_meancurv,,,rh_paracentral_meancurv,rh_paracentral_meancurv,
Right Parsopercularis Meancurv From Qdec,,,,,,,,,rh_parsopercularis_meancurv,,,,rh_parsopercularis_meancurv,,,rh_parsopercularis_meancurv,rh_(parsopercularis)MeanCurv,,,rh_parsopercularis_meancurv,,rh_parsopercularis_meancurv,,,rh_parsopercularis_meancurv,rh_parsopercularis_meancurv,
Right Parsorbitalis Meancurv From Qdec,,,,,,,,,rh_parsorbitalis_meancurv,,,,rh_parsorbitalis_meancurv,,,rh_parsorbitalis_meancurv,rh_(parsorbitalis)MeanCurv,,,rh_parsorbitalis_meancurv,,rh_parsorbitalis_meancurv,,,rh_parsorbitalis_meancurv,rh_parsorbitalis_meancurv,
Right Parstriangularis Meancurv From Qdec,,,,,,,,,rh_parstriangularis_meancurv,,,,rh_parstriangularis_meancurv,,,rh_parstriangularis_meancurv,rh_(parstriangularis)MeanCurv,,,rh_parstriangularis_meancurv,,rh_parstriangularis_meancurv,,,rh_parstriangularis_meancurv,rh_parstriangularis_meancurv,
Right Pericalcarine Meancurv From Qdec,,,,,,,,,rh_pericalcarine_meancurv,,,,rh_pericalcarine_meancurv,,,rh_pericalcarine_meancurv,rh_(pericalcarine)MeanCurv,,,rh_pericalcarine_meancurv,,rh_pericalcarine_meancurv,,,rh_pericalcarine_meancurv,rh_pericalcarine_meancurv,
Right Postcentral Meancurv From Qdec,,,,,,,,,rh_postcentral_meancurv,,,,rh_postcentral_meancurv,,,rh_postcentral_meancurv,rh_(postcentral)MeanCurv,,,rh_postcentral_meancurv,,rh_postcentral_meancurv,,,rh_postcentral_meancurv,rh_postcentral_meancurv,
Right Posteriorcingulate Meancurv From Qdec,,,,,,,,,rh_posteriorcingulate_meancurv,,,,rh_posteriorcingulate_meancurv,,,rh_posteriorcingulate_meancurv,lh_(posteriorcingulate)MeanCurv,,,rh_posteriorcingulate_meancurv,,rh_posteriorcingulate_meancurv,,,rh_posteriorcingulate_meancurv,rh_posteriorcingulate_meancurv,
Right Precentral Meancurv From Qdec,,,,,,,,,rh_precentral_meancurv,,,,rh_precentral_meancurv,,,rh_precentral_meancurv,rh_(precentral)MeanCurv,,,rh_precentral_meancurv,,rh_precentral_meancurv,,,rh_precentral_meancurv,rh_precentral_meancurv,
